Дата;Регион;Значение
2019-07-01;Новосибирская область;62847
2019-07-01;Омская область;43269
2019-07-01;Оренбургская область;43424
2019-07-01;Орловская область;41946
2019-07-01;Пензенская область;45331
2019-07-01;Пермский край;44167
2019-07-01;Приморский край;94066
2019-07-01;Псковская область;38000
2019-07-01;Республика Башкортостан;47413
2019-07-01;Республика Бурятия;50740
2019-07-01;Республика Дагестан;48083
2019-07-01;Республика Ингушетия;31199
2019-07-01;Республика Калмыкия;34327
2019-07-01;Республика Карачаево-Черкессия;47257
2019-07-01;Республика Карелия;46983
2019-07-01;Республика Коми;49005
2019-07-01;Республика Марий Эл;35461
2019-07-01;Республика Саха (Якутия);82057
2019-07-01;Республика Северная Осетия-Алания;42500
2019-07-01;Республика Татарстан;76618
2019-07-01;Республика Тыва;66202
2019-07-01;Республика Хакасия;46296
2019-07-01;Ростовская область;54054
2019-07-01;Рязанская область;42236
2019-07-01;Самарская область;44737
2019-07-01;Санкт-Петербург;119538
2019-07-01;Саратовская область;38571
2019-07-01;Сахалинская область;110000
2019-07-01;Свердловская область;61628
2019-07-01;Смоленская область;39191
2019-07-01;Ставропольский край;43878
2019-07-01;Тамбовская область;42155
2019-07-01;Тверская область;48813
2019-07-01;Томская область;55991
2019-07-01;Тульская область;57576
2019-07-01;Тюменская область;64063
2019-07-01;Удмуртская Республика;48234
2019-07-01;Ульяновская область;38821
2019-07-01;Хабаровский край;58685
2019-07-01;Ханты-Мансийский АО - Югра;73333
2019-07-01;Челябинская область;35658
2019-07-01;Чеченская Республика;34749
2019-07-01;Чувашская Республика;41667
2019-07-01;Чукотский АО;100000
2019-07-01;Ямало-Ненецкий АО;77778
2019-07-01;Ярославская область;47170
2019-08-01;Россия;62264
2019-08-01;Адыгея;41461
2019-08-01;Алтай;44898
2019-08-01;Алтайский край;47059
2019-08-01;Амурская область;70640
2019-08-01;Архангельская область;54185
2019-08-01;Астраханская область;39162
2019-08-01;Белгородская область;54412
2019-08-01;Брянская область;35151
2019-08-01;Владимирская область;37778
2019-08-01;Волгоградская область;45693
2019-08-01;Вологодская область;42667
2019-08-01;Воронежская область;46337
2019-08-01;Еврейская автономная область;38448
2019-08-01;Забайкальский край;50000
2019-08-01;Ивановская область;40909
2019-08-01;Иркутская область;58126
2019-08-01;Кабардино-Балкарская Республика;39586
2019-08-01;Калининградская область;55976
2019-08-01;Калужская область;56140
2019-08-01;Камчатский край;64368
2019-08-01;Кемеровская область;44118
2019-08-01;Кировская область;42273
2019-08-01;Костромская область;46377
2019-08-01;Краснодарский край;83333
2019-08-01;Красноярский край;57931
2019-08-01;Курганская область;35817
2019-08-01;Курская область;45000
2019-08-01;Ленинградская область;73821
2019-08-01;Липецкая область;45139
2019-08-01;Магаданская область;49764
2019-08-01;Мордовия;44413
2019-08-01;Москва;183237
2019-08-01;Московская область;91803
2019-08-01;Мурманская область;52222
2019-08-01;Ненецкий АО;51931
2019-08-01;Нижегородская область;62500
2019-08-01;Новгородская область;44667
2019-08-01;Новосибирская область;63636
2019-08-01;Омская область;43151
2019-08-01;Оренбургская область;42857
2019-08-01;Орловская область;42909
2019-08-01;Пензенская область;46671
2019-08-01;Пермский край;54243
2019-08-01;Приморский край;99099
2019-08-01;Псковская область;37907
2019-08-01;Республика Башкортостан;51351
2019-08-01;Республика Бурятия;51667
2019-08-01;Республика Дагестан;46970
2019-08-01;Республика Ингушетия;42017
2019-08-01;Республика Калмыкия;33538
2019-08-01;Республика Карачаево-Черкессия;47881
2019-08-01;Республика Карелия;48532
2019-08-01;Республика Коми;50000
2019-08-01;Республика Марий Эл;36820
2019-08-01;Республика Саха (Якутия);81944
2019-08-01;Республика Северная Осетия-Алания;43182
2019-08-01;Республика Татарстан;74635
2019-08-01;Республика Тыва;61966
2019-08-01;Республика Хакасия;47420
2019-08-01;Ростовская область;54535
2019-08-01;Рязанская область;39109
2019-08-01;Самарская область;47255
2019-08-01;Санкт-Петербург;120906
2019-08-01;Саратовская область;38333
2019-08-01;Сахалинская область;114286
2019-08-01;Свердловская область;65663
2019-08-01;Смоленская область;39612
2019-08-01;Ставропольский край;43333
2019-08-01;Тамбовская область;42414
2019-08-01;Тверская область;50172
2019-08-01;Томская область;55494
2019-08-01;Тульская область;57093
2019-08-01;Тюменская область;63462
2019-08-01;Удмуртская Республика;48279
2019-08-01;Ульяновская область;39115
2019-08-01;Хабаровский край;55108
2019-08-01;Ханты-Мансийский АО - Югра;73979
2019-08-01;Челябинская область;35948
2019-08-01;Чеченская Республика;40741
2019-08-01;Чувашская Республика;42314
2019-08-01;Чукотский АО;80121
2019-08-01;Ямало-Ненецкий АО;87564
2019-08-01;Ярославская область;45750
2019-09-01;Россия;60377
2019-09-01;Адыгея;42857
2019-09-01;Алтай;48277
2019-09-01;Алтайский край;47062
2019-09-01;Амурская область;69926
2019-09-01;Архангельская область;45984
2019-09-01;Астраханская область;40000
2019-09-01;Белгородская область;51914
2019-09-01;Брянская область;36458
2019-09-01;Владимирская область;37756
2019-09-01;Волгоградская область;45313
2019-09-01;Вологодская область;43182
2019-09-01;Воронежская область;45000
2019-09-01;Еврейская автономная область;38515
2019-09-01;Забайкальский край;43617
2019-09-01;Ивановская область;41429
2019-09-01;Иркутская область;55833
2019-09-01;Кабардино-Балкарская Республика;43599
2019-09-01;Калининградская область;55803
2019-09-01;Калужская область;55932
2019-09-01;Камчатский край;66965
2019-09-01;Кемеровская область;43488
2019-09-01;Кировская область;42768
2019-09-01;Костромская область;46644
2019-09-01;Краснодарский край;75000
2019-09-01;Красноярский край;55844
2019-09-01;Курганская область;35874
2019-09-01;Курская область;43455
2019-09-01;Ленинградская область;79153
2019-09-01;Липецкая область;44722
2019-09-01;Магаданская область;49603
2019-09-01;Мордовия;43846
2019-09-01;Москва;187000
2019-09-01;Московская область;78000
2019-09-01;Мурманская область;49536
2019-09-01;Ненецкий АО;64860
2019-09-01;Нижегородская область;64600
2019-09-01;Новгородская область;43914
2019-09-01;Новосибирская область;59615
2019-09-01;Омская область;44048
2019-09-01;Оренбургская область;41935
2019-09-01;Орловская область;41667
2019-09-01;Пензенская область;46094
2019-09-01;Пермский край;57486
2019-09-01;Приморский край;115449
2019-09-01;Псковская область;38889
2019-09-01;Республика Башкортостан;49172
2019-09-01;Республика Бурятия;50968
2019-09-01;Республика Дагестан;46429
2019-09-01;Республика Ингушетия;42017
2019-09-01;Республика Калмыкия;33897
2019-09-01;Республика Карачаево-Черкессия;42316
2019-09-01;Республика Карелия;47778
2019-09-01;Республика Коми;49765
2019-09-01;Республика Марий Эл;35273
2019-09-01;Республика Саха (Якутия);76596
2019-09-01;Республика Северная Осетия-Алания;41818
2019-09-01;Республика Татарстан;72368
2019-09-01;Республика Тыва;64103
2019-09-01;Республика Хакасия;46650
2019-09-01;Ростовская область;55440
2019-09-01;Рязанская область;39125
2019-09-01;Самарская область;42615
2019-09-01;Санкт-Петербург;112173
2019-09-01;Саратовская область;40000
2019-09-01;Сахалинская область;112109
2019-09-01;Свердловская область;69523
2019-09-01;Смоленская область;40374
2019-09-01;Ставропольский край;45455
2019-09-01;Тамбовская область;43197
2019-09-01;Тверская область;49449
2019-09-01;Томская область;55398
2019-09-01;Тульская область;58636
2019-09-01;Тюменская область;65348
2019-09-01;Удмуртская Республика;48643
2019-09-01;Ульяновская область;39815
2019-09-01;Хабаровский край;52913
2019-09-01;Ханты-Мансийский АО - Югра;72389
2019-09-01;Челябинская область;36023
2019-09-01;Чеченская Республика;42817
2019-09-01;Чувашская Республика;42016
2019-09-01;Чукотский АО;96148
2019-09-01;Ямало-Ненецкий АО;92214
2019-09-01;Ярославская область;45000
2019-10-01;Россия;64179
2019-10-01;Адыгея;43077
2019-10-01;Алтай;45012
2019-10-01;Алтайский край;46902
2019-10-01;Амурская область;71429
2019-10-01;Архангельская область;55714
2019-10-01;Астраханская область;39418
2019-10-01;Белгородская область;53030
2019-10-01;Брянская область;36667
2019-10-01;Владимирская область;38000
2019-10-01;Волгоградская область;44898
2019-10-01;Вологодская область;43276
2019-10-01;Воронежская область;47674
2019-10-01;Еврейская автономная область;35643
2019-10-01;Забайкальский край;52757
2019-10-01;Ивановская область;40444
2019-10-01;Иркутская область;54849
2019-10-01;Кабардино-Балкарская Республика;39474
2019-10-01;Калининградская область;57576
2019-10-01;Калужская область;55882
2019-10-01;Камчатский край;63545
2019-10-01;Кемеровская область;42500
2019-10-01;Кировская область;43435
2019-10-01;Костромская область;46667
2019-10-01;Краснодарский край;74419
2019-10-01;Красноярский край;56239
2019-10-01;Курганская область;36223
2019-10-01;Курская область;43503
2019-10-01;Ленинградская область;86546
2019-10-01;Липецкая область;45244
2019-10-01;Магаданская область;51471
2019-10-01;Мордовия;44063
2019-10-01;Москва;188661
2019-10-01;Московская область;93750
2019-10-01;Мурманская область;49674
2019-10-01;Ненецкий АО;69444
2019-10-01;Нижегородская область;62121
2019-10-01;Новгородская область;41667
2019-10-01;Новосибирская область;66667
2019-10-01;Омская область;43937
